# kind	id	required-artifact	expected
event	original-layout	screenshots/02-original-layout-slice-46.png	original 25/50/25 layout with Reference, Work, Comms windows visible
event	saved-layout	screenshots/03-saved-layout-slice-46.png	save-zone-layout writes 20/60/20 runtime widths and records backup
event	relaunch-saved-layout	screenshots/04-relaunch-saved-layout-slice-46.png	fresh WinMux relaunch reads saved 20/60/20 layout without another resize
event	bad-config-doctor	screenshots/05-bad-config-doctor-slice-46.png	bad generated config is visible and doctor reports config status ERROR
event	restore-backup	screenshots/06-restore-backup-slice-46.png	config --restore-backup restores the saved-good backup and creates rollback copy of bad config
event	final-restored-layout	screenshots/07-final-restored-layout-slice-46.png	final relaunch reads restored saved layout and no config was deleted
proof	command:save	logs/slice-46-save-zone-layout.log	exact winmux save-zone-layout command and backup path
proof	command:doctor	logs/slice-46-doctor-bad-config.log	exact winmux doctor command with Config doctor status ERROR
proof	command:restore	logs/slice-46-restore-backup.log	exact winmux config --restore-backup command with Restored config OK
proof	safety:save-backup-matches-original	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	save backup sha equals original config sha
proof	safety:bad-config-not-deleted	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	rollback backup sha equals bad config sha
proof	relaunch:saved-layout-loaded	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	saved layout survives relaunch as configured 20/60/20 widths
proof	relaunch:saved-stopped	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	WinMux stopped before saved-layout relaunch
proof	relaunch:saved-launched	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	WinMux launched before saved-layout inspection
proof	restore:restored-layout-loaded	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	restored saved layout survives final relaunch
proof	restore:restored-stopped	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	WinMux stopped before restored-layout relaunch
proof	restore:restored-launched	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	WinMux launched before restored-layout inspection
proof	doctor:zone-references-checked	logs/slice-46-persistence-rollback-doctor.proof-manifest.tsv	doctor success/failure reports parser-backed zone checks
artifact	relaunch-log	logs/slice-46-relaunch.log	relaunch log must prove stop/start boundaries
artifact	bad-config-board	logs/slice-46-bad-config-board-source.txt	visible bad-config board source includes real doctor output and bad TOML
artifact	restore-board	logs/slice-46-restore-board-source.txt	visible restore board source includes real restore and doctor output
artifact	final-board	logs/slice-46-final-board-source.txt	visible final board source includes restored layout result
artifact	windows-after-save	logs/slice-46-windows-after-save.log	Reference Work Comms anchors remain in zones after save
