feature	user_claim	recording_path	recording_sha256	duration_seconds	resolution	accepted_review_path	review_verdict	decisive_proof_path	non_claims
root-demo	Current ultrawide zones demo: divider drag, save, relaunch, and list-zones proof	demo-columnar-zones.mp4	1a4dfbfe732cc4f413a3311516fdd0e99f8c3a6178178585b0383cd2faa4ac4e	90.000000	3440x1440	artifacts/e2e/slice-36-root-current-demo-20260701T004813Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-36-root-current-demo-20260701T004813Z/screenshots/demo-columnar-zones.contact-sheet.jpg	Not package install proof; persistence requires explicit save
slice-27-window-slot	Secondary-button window-slot snap with Window slot: Right overlay	artifacts/e2e/slice-27-20260630T043500Z/recordings/slice-27-window-slot-snap.mov	3d9e620d5020d72b1d28af4fe29d947bbd69fb431e9446a283fcdf587d67b412	86.000000	3440x1440	artifacts/e2e/slice-27-20260630T043500Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-27-20260630T043500Z/screenshots/07-slot-hover-right-slice-27.png	Not arbitrary grid snapping; not whole-zone target semantics
slice-36-root-package	Accepted source artifact for root demo packaging	artifacts/e2e/slice-36-root-current-demo-20260701T004813Z/recordings/demo-columnar-zones.mp4	1a4dfbfe732cc4f413a3311516fdd0e99f8c3a6178178585b0383cd2faa4ac4e	90.000000	3440x1440	artifacts/e2e/slice-36-root-current-demo-20260701T004813Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-36-root-current-demo-20260701T004813Z/screenshots/demo-columnar-zones.contact-sheet.jpg	Not package install proof; persistence requires explicit save
slice-37-onboarding	Starter template onboarding and first focus-zone command	artifacts/e2e/slice-37-starter-onboarding-20260701T045012Z/recordings/slice-37-starter-onboarding.mov	8d873a8c299f7a251c636c0a7bfe882120a1fe317890f7cc6a30e202e38684b3	71.983333	3440x1440	artifacts/e2e/slice-37-starter-onboarding-20260701T045012Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-37-starter-onboarding-20260701T045012Z/screenshots/slice-37-starter-onboarding.contact-sheet.jpg	Does not prove package install or public beta readiness
slice-38-user-readiness	Normal user config path and core zone commands	artifacts/e2e/slice-38-pre-tart-20260701T075713Z/recordings/slice-38-user-readiness.mov	55241360c64e85a35f8322d31563fbe61d24d6d4e7a2f619071e5a85db429e74	119.983333	3440x1440	artifacts/e2e/slice-38-pre-tart-20260701T075713Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-38-pre-tart-20260701T075713Z/screenshots/slice-38-user-readiness.contact-sheet.jpg	Does not prove release packaging or shipping readiness
slice-39-install-permissions	Installed app launch, permissions, relaunch, and normal config path	artifacts/e2e/slice-39-pre-tart-20260701T093003Z/recordings/slice-39-dogfood-install-permissions.mov	37ffabbd68f1feeba338797dea0d6999dd4739d25c7b1d2886608c0c6e33012f	108.000000	3440x1440	artifacts/e2e/slice-39-pre-tart-20260701T093003Z/reviews/no-ctx-artifact-review.md	PASS_WITH_NOTES	artifacts/e2e/slice-39-pre-tart-20260701T093003Z/screenshots/slice-39-dogfood-install-permissions.contact-sheet.jpg	Does not prove public beta or release-ready distribution
slice-40-zone-init	Balanced zone init dry-run, write, backup, and generated config validation	artifacts/e2e/slice-40-pre-tart-20260701T130717Z/recordings/slice-40-zone-setup-assistant.mov	0f9439411312e9629c61324d47c47c22860c06269a321ba36c2582d58ee89400	107.933333	3440x1440	artifacts/e2e/slice-40-pre-tart-20260701T130717Z/reviews/no-ctx-artifact-review.md	PASS_WITH_NOTES	artifacts/e2e/slice-40-pre-tart-20260701T130717Z/screenshots/slice-40-zone-setup-assistant.contact-sheet.jpg	Does not prove external beta start
slice-41-affinity	Beta app and window affinity routing	artifacts/e2e/slice-41-20260701T173400Z/recordings/slice-41-zone-affinity-beta.mov	c9353edffa8e63c044e83fdad9b230932b314f97c4e98fc1cab69260214a3c09	143.983333	3440x1440	artifacts/e2e/slice-41-20260701T173400Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-41-20260701T173400Z/screenshots/slice-41-zone-affinity-beta.contact-sheet.jpg	Does not prove every app routing case
slice-42-profiles	Zone availability and profile workflows	artifacts/e2e/slice-42-pre-tart-20260701T210703Z/recordings/slice-42-zone-availability-profiles.mov	b1b0c163a46371e5df5234c093ce863bfd720825cef2d230b90c82e72b907913	132.000000	3440x1440	artifacts/e2e/slice-42-pre-tart-20260701T210703Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-42-pre-tart-20260701T210703Z/screenshots/slice-42-zone-availability-profiles.contact-sheet.jpg	Does not prove package install or public beta readiness
slice-45-topology	Display topology recovery boundaries in Tart simulation	artifacts/e2e/slice-45-pre-tart-20260702T022831Z/recordings/slice-45-display-topology-recovery.mov	c64e7d9d4703588ae25b59aa7aa2d3cad7d2e9ba0b78a7117bf0bfd669f33aae	99.983333	3440x1440	artifacts/e2e/slice-45-pre-tart-20260702T022831Z/reviews/no-ctx-artifact-review.md	PASS	artifacts/e2e/slice-45-pre-tart-20260702T022831Z/screenshots/slice-45-display-topology-recovery.contact-sheet.jpg	Not a real hardware hotplug claim
